PID,eligible_tracking,status,whynotfound,specialcase
021006,0,Found,,
021007,1,Found,,
021008,1,Found,,
021009,1,Found,,
021010,1,Found,,
021101,1,Found,,
021102,1,Found,,
021103,0,Found,,
021104,0,Found,,
021105,0,Found,,
021201,1,Found,,
021202,1,Found,,
021203,0,Found,,
021204,0,Found,,
021205,0,Found,,
021301,1,Found,,
021302,1,Found,,
021303,0,Found,,
021401,1,Found,,
021402,1,Found,,
021403,0,Found,,
021404,0,Found,,
021501,1,"Not Found, Tracking Eligible",Entire HH Outside Malawi or in Likoma,
021601,1,Found,,
021602,1,Found,,
021603,1,Found,,
021604,1,Found,,
021605,0,Found,,
021606,0,Found,,
021607,0,Found,,
021701,1,Found,,
021702,1,Found,,
021703,1,Found,,
021704,1,Found,,
021705,1,Found,,
021706,1,Found,,
021707,1,Found,,
021708,1,Found,,
021709,1,Found,,
021710,0,Found,,
021711,0,Found,,
021712,1,Found,,
021801,1,Found,,
021802,1,Individual Dead,,
021901,1,Found,,
021902,1,Found,,
021903,1,Found,,
021904,1,Found,,
021905,1,Found,,
021906,1,Found,,
021907,0,Found,,
022001,1,Found,,
022002,1,Found,,
022003,1,Found,,
022004,1,Found,,
022005,0,Found,,
022006,0,Found,,
022101,1,Found,,
022102,1,Found,,
022103,1,Found,,
022104,0,Found,,
022105,1,Found,,
022106,0,Found,,
022201,1,Found,,
022202,1,Found,,
022203,1,Found,,
022204,0,Found,,
022205,0,Found,,
022206,0,Found,,
022207,0,Found,,
022301,1,"Not Found, Tracking Eligible",Entire HH Outside Malawi or in Likoma,
022302,1,"Not Found, Tracking Eligible",Entire HH Outside Malawi or in Likoma,
022303,0,"Not Found, Tracking Ineligible",Entire HH Outside Malawi or in Likoma,
022401,1,Found,,
022402,1,Found,,
022403,1,Found,,
022404,1,Found,,
022405,1,Found,,
022406,1,Found,,
022407,0,Found,,
022408,0,Found,,
022409,1,Found,,
022410,1,Found,,
022501,1,Found,,
022601,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
022602,1,Found,,
022603,1,Found,,
022604,0,Found,,
022701,1,Entire HH Dead,,
022702,1,Entire HH Dead,,
022801,1,Found,,
022802,1,Found,,
022803,0,Found,,
022901,1,Found,,
022902,1,Found,,
023001,1,Found,,
023101,1,Found,,
023201,1,Found,,
023202,1,Found,,
023203,1,Found,,
023204,1,Found,,
023205,1,"Not Found, Tracking Eligible",,
023206,1,Found,,
023207,0,Found,,
023301,1,Found,,
023302,1,Found,,
023303,0,Found,,
023304,0,Found,,
023305,1,Found,,
023306,1,Found,,
023307,1,Found,,
023308,1,Found,,
023401,1,Found,,
023402,1,Found,,
023403,0,Found,,
023501,1,Entire HH Dead,,
023601,1,Found,,
023602,1,Found,,
023603,1,Found,,
023604,1,Found,,
023605,1,Found,,
023606,1,Found,,
023607,1,Found,,
023608,0,Found,,
023609,0,Found,,
023610,0,Found,,
023611,0,Found,,
023701,1,Found,,
023702,1,Found,,
023703,1,Found,,
023704,1,Found,,
023705,0,Found,,
023801,1,Found,,
023802,1,Found,,
023803,1,Found,,
023804,1,Found,,
023805,0,"Not Found, Tracking Ineligible",,
023806,0,Found,,
023807,0,Found,,
023901,1,Found,,
023902,1,Found,,
023903,0,Found,,
023904,0,Found,,
023905,0,"Not Found, Tracking Ineligible",,
024001,1,Found,,
024002,1,Found,,
024003,1,Found,,
024004,0,Found,,
024005,0,Found,,
024006,0,Found,,
024101,1,Found,,
024102,1,Found,,
024103,0,Found,,
024104,0,Found,,
024105,0,Found,,
024201,1,Individual Dead,,
024202,1,Found,,
024203,1,Found,,
024204,1,Found,,
024205,1,Found,,
024206,1,Found,,
024301,1,Found,,
024302,1,Found,,
024303,0,Found,,
024401,1,Found,,
024402,1,Found,,
024403,1,Found,,
024404,1,Found,,
024405,1,Found,,
024406,1,Found,,
024407,0,Found,,
024501,1,Found,,
