ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
20803156,Dedza,3,80,31jul2010,31,7,2010,89,08nov2010,8,11,2010,YES,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20804405,Dedza,4,80,18may2010,18,5,2010,89,30jul2010,30,7,2010,NO,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
20804768,Dedza,4,80,03apr2010,3,4,2010,89,24mar2011,24,3,2011,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20806131,Dedza,6,80,16jun2010,16,6,2010,89,30jul2010,30,7,2010,NO,NO,NO,NO,NO,NO,COMPACTED EARTH (YAMDINDO),GRASS
20807727,Dedza,7,80,11apr2010,11,4,2010,89,18may2010,18,5,2010,NO,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20808421,Dedza,8,80,29jul2010,29,7,2010,89,20sep2010,20,9,2010,NO,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20903583,Ntcheu,3,90,30sep2010,30,9,2010,99,11oct2010,11,10,2010,YES,NO,YES,YES,NO,YES,MUD BRICK (UNFIRED),GRASS
20906524,Ntcheu,6,90,17may2010,17,5,2010,99,25may2010,25,5,2010,YES,NO,YES,NO,NO,YES,BURNT BRICKS,IRON SHEETS
20906605,Ntcheu,6,90,16aug2010,16,8,2010,99,29aug2010,29,8,2010,YES,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
20908088,Ntcheu,8,90,05apr2010,5,4,2010,99,21may2010,21,5,2010,YES,NO,YES,YES,NO,YES,MUD BRICK (UNFIRED),GRASS
20908119,Ntcheu,8,90,12jun2010,12,6,2010,99,06jul2010,6,7,2010,NO,NO,YES,YES,NO,YES,MUD BRICK (UNFIRED),GRASS
20909113,Ntcheu,9,90,28jul2010,28,7,2010,99,10aug2010,10,8,2010,YES,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
21037030,Lilongwe City,37,70,28aug2010,28,8,2010,79,21sep2010,21,9,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21037536,Lilongwe City,37,70,26apr2010,26,4,2010,79,22jun2010,22,6,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21048764,Lilongwe City,48,70,18jul2010,18,7,2010,79,04aug2010,4,8,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21051203,Lilongwe City,51,40,04oct2010,4,10,2010,79,10oct2010,10,10,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21052427,Lilongwe City,52,70,30mar2010,30,3,2010,79,22jun2010,22,6,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21053745,Lilongwe City,53,70,27jul2010,27,7,2010,79,04aug2010,4,8,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21055241,Lilongwe City,55,70,14sep2010,14,9,2010,79,15sep2010,15,9,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21055693,Lilongwe City,55,70,29may2010,29,5,2010,79,22jun2010,22,6,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21066096,Lilongwe City,66,40,27sep2010,27,9,2010,79,10oct2010,10,10,2010,YES,YES,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
21066339,Lilongwe City,66,70,08jun2010,8,6,2010,79,22jun2010,22,6,2010,NO,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
21074510,Lilongwe City,74,70,09apr2010,9,4,2010,79,21jun2010,21,6,2010,NO,NO,NO,YES,NO,NO,MUD BRICK (UNFIRED),IRON SHEETS
21077725,Lilongwe City,77,70,07aug2010,7,8,2010,79,30aug2010,30,8,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21080308,Lilongwe City,80,70,24apr2010,24,4,2010,,,,,,NO,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
21081573,Lilongwe City,81,70,16sep2010,16,9,2010,79,21sep2010,21,9,2010,NO,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
21086069,Lilongwe City,86,40,24sep2010,24,9,2010,79,29sep2010,29,9,2010,YES,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
21086436,Lilongwe City,86,70,12jul2010,12,7,2010,79,01aug2010,1,8,2010,NO,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
21087531,Lilongwe City,87,70,25mar2010,25,3,2010,79,22jun2010,22,6,2010,NO,NO,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
21088597,Lilongwe City,88,70,12aug2010,12,8,2010,79,03sep2010,3,9,2010,YES,NO,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
30101280,Mangochi,1,100,04apr2010,4,4,2010,109,05jul2010,5,7,2010,NO,NO,NO,YES,YES,YES,MUD BRICK (UNFIRED),GRASS
30101545,Mangochi,1,100,07sep2010,7,9,2010,109,08sep2010,8,9,2010,YES,NO,YES,YES,YES,YES,BURNT BRICKS,GRASS
30102028,Mangochi,2,100,08jul2010,8,7,2010,109,20jul2010,20,7,2010,YES,NO,YES,YES,YES,YES,BURNT BRICKS,GRASS
30102540,Mangochi,2,150,15nov2010,15,11,2010,109,18nov2010,18,11,2010,NO,NO,YES,NO,NO,NO,MUD BRICK (UNFIRED),GRASS
30103074,Mangochi,3,100,26apr2010,26,4,2010,109,05jul2010,5,7,2010,NO,NO,NO,YES,YES,YES,MUD BRICK (UNFIRED),GRASS
30104708,Mangochi,4,100,21jul2010,21,7,2010,109,29jul2010,29,7,2010,YES,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),GRASS
