HHID,case_id,visit,ea_id,fs_h0c,fs_h07,fs_h08,fs_h09,fs_h10,fs_h11,fs_h12,fs_h13,fs_h14a,fs_h14b,fs_h14c,fs_h14d
2833,311087030374,1,31108703,,,,,,,,,,,,
2891,312046180102,1,31204618,,,,,,,,,,,,
2868,314325230046,2,31432523,,,,,,,,,,,,
2940,314386900029,2,31438690,,,,,,,,,,,,
2958,314391020044,2,31439102,,,,,,,,,,,,
2978,314391020125,2,31439102,bwato (dugout),No,,,,,,,2,10,0,0
2978,314391020125,2,31439102,plankboat,No,,,,,,,,,,
2978,314391020125,2,31439102,outboard engine,No,,,,,,,,,,
2978,314391020125,2,31439102,"other, specify",No,,,,,,,,,,
2978,314391020125,2,31439102,"other, specify",No,,,,,,,,,,
2984,314423940024,2,31442394,,,,,,,,,,,,
