case_id,hhid,Fish_SpeciesID,fs_i02a,fs_i02b,fs_i02c,fs_i02d,fs_i02e,fs_i01,fs_i02,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
106012220192,e07b605d86664cfeb87f6d0f41a31538,,,,,,,yes,mlamba,,10,5,DOZEN / BUNDLE,,fresh,,no,,,,,,50,,50,DOZEN / BUNDLE,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,45,DOZEN / BUNDLE,,fresh,.,8000,,,,,,,10,yes,,5,DOZEN / BUNDLE,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220214,58d807a0904745bd8e2b83c77c4e8afe,,,,,,,yes,usipa,,9,10,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,no,,,,,,90,,90,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,86,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,12000,,,,,,,9,yes,,4,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220280,e9233b566489450294fa0fb34d988278,,,,,,,yes,mlamba,,8,50,piece,,fresh,,no,,,,,,400,,400,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,40,piece,,fresh,.,500,,,,,,,8,yes,,10,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220346,0480490180ae492bab38520e1a2d9a52,,,,,,,yes,mlamba,,12,50,piece,,fresh,,no,,,,,,600,,600,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,540,piece,,fresh,.,1200,,,,,,,12,yes,,60,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012230013,6cc3588b213e4615aeff177626a94117,,,,,,,yes,usipa,,6,10,SMALL BASKET,,fresh,,no,,,,,,60,,60,SMALL BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,9,SMALL BASKET,,fresh,.,4500,,,,,,,6,yes,,1,SMALL BASKET,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012230164,f470912aca0d4bf9ab930d08bc30b5b7,,,,,,,yes,usipa,,3,10,OTHER (SPECIFY),10 litre pail,fresh,,no,,,,,,30,,30,OTHER (SPECIFY),10 litre pail,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,9,OTHER (SPECIFY),10 litre pail,fresh,.,4500,,,,,,,3,yes,,1,OTHER (SPECIFY),10 litre pail,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012230177,a21dcb576aab47498258a551704d0e1a,,,,,,,yes,usipa,,4,10,OTHER (SPECIFY),10 litre pail,fresh,,no,,,,,,40,,40,OTHER (SPECIFY),10 litre pail,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,9,OTHER (SPECIFY),10 litre pail,fresh,.,4000,,,,,,,4,yes,,1,OTHER (SPECIFY),10 litre pail,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012240131,3d46228d82ab4af6900846a524e7afd7,,,,,,,yes,utaka,,8,4,OTHER (SPECIFY),"""10 litre bucket """,fresh,,no,,,,,,32,,32,OTHER (SPECIFY),"""10 litre pail """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,28,OTHER (SPECIFY),"""10 litre pail """,fresh,.,4000,,,,,,,8,yes,,4,OTHER (SPECIFY),10 LITRE PAIL,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012240131,3d46228d82ab4af6900846a524e7afd7,,,,,,,yes,mlamba,,8,50,piece,,fresh,,no,,,,,,400,,400,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,360,piece,,fresh,.,1500,,,,,,,8,yes,,40,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012250020,db2c6d4784534897bed7627d3da9fe5b,,,,,,,yes,ncheni,,10,40,piece,,fresh,,no,,,,,,400,,400,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,350,piece,,fresh,.,800,,,,,,,10,yes,,50,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
