case_id,hhid,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
101051200016,3330942a2128430bbf67fcf59b3b0017,0,0,0,0,0
101051200025,98523804cedc460485d4eb37ff898791,0,0,0,0,0
101051200058,6235ee784e084e539fa8280cae2d6b32,0,0,0,0,0
101051200066,34a5441b70bc45ecb107171e23eeadc9,0,0,0,0,0
101051200100,ae3575a7022e40e893bdca3a4b714f66,0,2000,0,0,3500
101051200116,f83ba28e38344e9ba6c280c45d2852e8,0,0,0,0,0
101051200124,65c37d8ba1cd4ea39731318002ce2ceb,0,0,0,0,0
101051200132,1021ed298fd242a386f2567b3c509447,0,0,0,0,0
101051200157,2e987b7568de4df3b2c58bbfb8b3f243,0,0,0,0,0
101051200173,4cd18a902ecc4ab08e6050430a6dbce9,0,0,0,0,0
101051210010,ec9707cf6f4f4153a538ab068ba82e8a,0,0,0,0,0
101051210021,d4e1c6ba822a444bbffff67d25f51efe,0,0,0,0,0
101051210032,17567b6d87b2453eb15e35c33e825e38,0,0,0,0,0
101051210043,90641f0126894574a125a8e311edf2f8,0,0,0,0,0
101051210054,56c24a5f01f84e1eb3475e90aaa8a659,0,0,0,0,0
101051210065,1c9d26e37c834db9b5d98e1c8cbd4658,0,0,0,0,0
101051210076,29716b15a68c4b44911f24d85cc6dc31,0,0,0,0,0
101051210087,80f85dcdd38a403fa31263d053ee64d7,0,10000,2000,0,0
101051210098,4dc740e0bb434878812c363f48fb8669,0,0,0,0,0
101051210104,022f3a5a92114756951aec73f8949e70,0,0,0,0,0
101051210109,2911ba8547ce4bf59a456f385653b750,0,0,0,0,0
101051210131,c28d4783b7844b9b9d21085b4ef9e069,0,0,0,0,0
101051210142,75e7f83de15342148cb7a037fbddd462,0,0,0,0,0
101051210153,5eda2484a72f4528a4b017ad899e6920,0,0,0,0,0
101201220020,f77e33b65f444d4eb09dd7c9516983e4,1200,3600,2000,1200,0
101201220084,eed2fa1f87b74dd192262556b6f84d89,0,4000,0,0,0
101201220126,3137d33aef354c79a3893ad1299c67b0,0,0,3000,0,0
101201230014,b23f08e0f60447c3b00e9c36af15e794,0,0,1500,0,0
101201230133,46bec45600274023a1b5b031ee33eaa4,0,10000,0,0,0
101201230231,34abdb679a2d459ebd7e61a6a708485d,0,0,0,0,0
101201230270,27734721bbe0401da1801330e876383d,0,0,0,0,0
101201230310,2c0da8a36e5a4539af743ba6f6a24ff2,0,0,0,0,0
102011240003,6a35aa61c3c14b1298998803d2c41361,0,0,0,0,0
102011240018,719ec9083f294582a03dd54632d77324,0,0,0,0,0
102011240026,f8b29212b2234318bdccd5637977ab62,0,6000,0,0,0
102011240041,c7da11f2a0f34517a0c03a2219bb2600,0,0,0,0,0
102011240048,70a440d821cb4a049a9dbe2f8cb44433,0,0,250,0,0
102011240056,2fbe6c27bc344764bf9d38a9a4757d38,0,0,0,0,0
102011240063,9406a2627951431ca617091d295c9c25,0,0,0,0,0
102011240071,323edb614c48487d90d8cb78cc98543c,0,0,0,0,0
102011240086,abd95c8c631e4b43a5fe4b9c950dddfa,0,0,0,0,0
102011240093,fceaccbdda184f9293e5525f37f2e0ed,0,0,0,0,0
