case_id,hhid,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
106012280034,dda4810cf7b841b592cbc3ba5e724664,10,12,0,0,no,,,no,,,,,,,yes,20000,0,0,0,no,,,
106012280047,de883c94d8d34853b61115cdd00fdf46,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012280073,cfdf0fa754b54dd6ae961b086d0e4809,4,8,0,0,no,,,no,,,,,,,yes,15000,0,0,0,no,,,
106012280086,6c0b94731eee47a2b5f6df8121cf5a88,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012280112,4d7b3586ebbb4dbe8fc6c8aa42001680,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012280125,d51a234aa5ad4429b8b6544e6fc7f9ef,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012280202,c92aa55251ef4f77bc3ad73272131d59,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012290014,3791687e2dce4cb0a821cc40e1168138,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012290028,d07e0bc3673e4f3999f6d05ef71292c0,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012290035,69ba1df06ccf48db9ddecb90fe7e939b,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012290099,e6b53d2272664802be315ddb143b7ca6,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012290106,91d602bf8b964afa832f1a3edae623e8,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012290127,e3dd2bf23dbe4613b01f92dbc462ed99,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012290134,4073d45af850495d9611563823d55180,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012290148,75d146ba5d274fe5a5ce4d5839b79d90,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106202300013,61ee173f98a8446aaa4958952332d3a8,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
