case_id,hhid,ag_e27a,ag_e27b,ag_e27c,ag_e27d,ag_e27e,ag_e27f,ag_e27g,ag_e27h,ag_e28,ag_e29a,ag_e29b,ag_e29c,ag_e29d,ag_e29e,ag_e29f,ag_e29g,ag_e29h,ag_e29i,ag_e29j,ag_e29k,ag_e29l
208014390154,9c9ff610a4594923997e703bca306132,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
208014390168,acebc7a34f1541a0bf79aa6e5ef1d231,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014390181,5f5ea9e68ddd418c94a4a9c17d8acb8e,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
208014390195,d4348dfe823c426eb431b2c373a32d72,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014390209,4f562ab87ffa4fb1af8a215c958dcd5e,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
208024400011,5369ddba13b04a219e7d3f48e6b4364f,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400021,a9844e3fc2f64a76a3bb1bd16da1b868,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400032,d43e649b4f854847a9bd009d69ed8a2b,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400054,41c64951f466451e9fb715fffd3ea990,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400064,a881f4b220064b9b9b64474f3b44c3c1,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
208024400075,f1288bcef0904886a9adaef44fdf0b3f,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400097,98b6ccae5a8a48028bc16e5abad062d7,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400107,e3bb3a359a5e4d25a1e3eb0ef36a8ac4,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400118,5bd1c87587c94e85bcffced8fd377675,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
208024400140,13aa89d47f13418185bc2c2426f6fdfc,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no
208024400150,adad08f28a7240e0acb3b00037abae05,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no
208024400161,afc0aa9897b348d2a2605d136ce50f3a,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208024400182,02acc4cad4a44743acab2a7fbcd5cdff,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400193,49ed8a07cda948c3bc338b5b5ce5f906,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400203,2437de5284114d7995d9c06f9e1a67f1,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024400224,6df25186e5cd474db9338aa2f034b6f2,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024410023,79b6f5599f90469e9852134135f1319f,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208024410055,1b33428f55804918946b815c15b00b92,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024410086,3acb953d8b2945f295d0bf16444fc9cb,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
208024410118,fa51cb538cc3492e9f993618027ad186,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208024410181,f42257c470cc41dea57203fe38b88ea9,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024410213,069c954ca66648589c828146aa19dbda,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
208024410244,c261767f67ac4408ba2f4c103b6159f7,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208024410276,e4bb50309f7f4afd9bcf4734fee496f4,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208024410307,9dc53eeee4e849c2ae1e9d2d977214f3,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024410339,f9e51abcc0a34f86a47f9c2dc996b347,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
208024410370,032b56cdb29a4a1fb22cb403342d2388,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208024410402,67edf940dea940c0aa35878396e5faa5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024410433,a7392c6745a14131a3489abaac10246a,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208024410465,6a9047594d3a4f638105305de5d933d1,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
208024410497,9d8745803b024b7e854029758018d4cb,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208034420015,438448f264b74066b976dd49b46338f3,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420031,0bc9b5cd9c1347ac81300ef81cca840f,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420046,3b0c2d0453a14d20bc108d43e47a4b76,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420080,a35cd72ae5064a64b74c7fbc0a661276,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420096,1b29fff72aad426ea8c25e17a91b2ea7,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420111,d18ac8e41ef744a18e40bd0ffb9ae2a1,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420145,e4d472fde6c249abae027fd73acea5d3,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,no
208034420160,a5bca511028d4c6186faccd2eb1d1e75,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420176,3b6b8231cda542569f8c506b6cb1ce2f,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208034420210,bafb55e2dfcf403e85cdc34baadc8ac0,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no
208034420225,fb74483d4ebe476197d4e14f5a126ca4,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208034420241,8dc2ed9d07444fbb854d94549727c1cd,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208034420271,859eb9f77a1040ea91ee49dfdf1abfeb,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420287,f92001f1210d474aac0b017558311f69,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208034420302,52b946384bf545dcb9f84d96f9ec4a4d,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034420333,5e8b7ad50cec411e9a0f179e26657838,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034430027,b784e8a4fc264f50976f7fa77178abe6,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208034430056,ec7b850508dc414d90a8d05807924a4b,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208034430085,904a74070ddd421c91fcb8a823a6fd00,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
208034430114,2e62c6849d874c1dae8b99ef4667ce1d,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
208034430143,b8ac1b4c40ab4bbf95d37d674f329ebe,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
208034430171,16f82c78b65245edb3b0c032dff272ca,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208034430200,ec5f8e4ce7314218bda6d4c08727f936,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
208034430229,9ba3aa4893844896b07102b4a9224a97,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
208034430258,197aa2ae5614490d9347f56c2ef9321c,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208034430287,57e71369c4654517828ab164d5915151,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no
208034430315,527aee6e3bbb4027b59e13321b9ea7a0,no,yes,yes,no,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
