case_id,hhid,ea_id,region,district,reside,interviewDate,hh_wgt,hh_a02a,hh_a03,hh_a06,hh_a11,hh_a13,hh_a22,hh_a23,hh_g09,hh_m00,hh_o0a,hh_s01,hh_w01
308026950102,70a294deaf3445f1bcd799d1e80a38c3,30802695,Southern,Mulanje,rural,2017-04-11,360.19641,2,695,0102,no,,70,36,no,yes,yes,no,no
102011240048,70a440d821cb4a049a9dbe2f8cb44433,10201124,North,Karonga,rural,2017-02-01,126.1631,1,124,0048,no,,10,93,yes,yes,no,no,no
209084760093,70a5b132401249e48fb987b68d7173a7,20908476,Central,Ntcheu,rural,2017-03-16,434.01181,8,476,0093,no,,90,95,no,yes,no,no,no
308047000022,70a673896987478fbccdbd1b165aac16,30804700,Southern,Mulanje,rural,2016-05-13,370.3288,4,700,0022,no,,600,69,no,yes,yes,yes,no
302035510175,70a703c79a514790bcbf1fb6a4870ceb,30203551,Southern,Machinga,rural,2017-04-21,209.7509,3,551,0175,no,,200,44,no,yes,no,no,no
314358380003,70a8114d2df447d4a0c0574fcb21b894,31435838,Southern,Zomba City,urban,2017-02-05,85.682098,35,838,0003,yes,Dwelling destroyed,300,85,yes,yes,yes,yes,no
208084570192,70a8c8c33ec14f0ab9141209f9534ffb,20808457,Central,Dedza,rural,2017-03-02,299.6106,8,457,0192,no,,900,79,no,yes,no,no,no
102031360271,70ab9300d1d7492790de8ca0837e4af1,10203136,North,Karonga,rural,2017-01-30,152.4906,3,136,0271,no,,10,4,no,yes,no,no,no
201112710117,70b7974f45ad4e4cb0307565a471715f,20111271,Central,Kasungu,rural,2016-06-30,359.7233,11,271,0117,yes,Dwelling found but respondent refused,40,17,no,no,no,yes,no
202032890155,70b803eaea2f4b259ff7b7e5b4828e7c,20203289,Central,Nkhotakota,rural,2016-09-07,89.204102,3,289,0155,no,,50,3,no,yes,no,no,no
101031150133,70ba408860bd46a3ae605ad6834d1faf,10103115,North,Chitipa,rural,2017-04-29,101.958,3,115,0133,no,,500,64,no,yes,yes,no,no
101031130049,70c4fec57b374ae49acb644d11cb76dd,10103113,North,Chitipa,rural,2017-02-04,164.92909,3,113,0049,no,,10,93,no,yes,no,no,no
205013530020,70c5962f19cd4a6aaf009b27debd6f1f,20501353,Central,Salima,rural,2016-10-27,291.1723,1,353,0020,no,,60,27,no,yes,yes,no,no
303055820082,70d014770e984bfa87e5f7d7b6026662,30305582,Southern,Zomba Non-City,rural,2017-01-30,214.89011,5,582,0082,no,,300,85,yes,yes,no,yes,no
207044230025,70d0e6e8f03046a39750f7b0d72d8b71,20704423,Central,Mchinji,rural,2017-03-30,347.39749,4,423,0025,no,,100,33,yes,yes,no,yes,no
