country,adm1,adm2,adm3,adm4,lat,lon,GPS_level,hhID,fieldID,plotID,crop,plot_area_measured_ha,plot_area_reported_ha,plot_area_reported_localUnit,localUnit_area,crop_area_share,planting_year,planting_month,harvest_year_begin,harvest_month_begin,harvest_year_end,harvest_month_end,harvest_year,harvest_month,dataset_name,dataset_doi
Malawi,southern,mulanje,,,-15.87311,35.504879,3,308056560064,rg01,r01,maize,0.0080937128447071,0.1214056926706073,0.3,acre,87.5,2017.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,balaka,,,-15.24482,34.904541,3,312067470001,rg01,r01,maize,0.0202342821117678,0.2023428211176788,0.5,acre,87.5,2018.0,12.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-15.89668,35.110661,3,307106340073,rg01,r01,maize,0.1254525490929608,0.1011714105588394,0.25,acre,87.5,2018.0,11.0,,2.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,chiradzulu,,,-15.76794,35.249538,3,304035620235,rg01,r01,maize,0.3277953702106397,0.1011714105588394,0.25,acre,87.5,2017.0,11.0,,2.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,blantyre,,,-15.68044,35.092152,3,305075930461,rg01,r01,maize,0.1011714105588394,0.4046856422353577,1.0,acre,87.5,2017.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-16.00411,35.441521,3,308036490243,rg01,r01,maize,0.0242811385341214,0.1375931183600216,0.34,acre,87.5,2018.0,11.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-16.00411,35.441521,3,308036490315,rg01,r01,maize,0.0930776977141322,0.2023428211176788,0.5,acre,75.0,2018.0,10.0,,2.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-16.048651,35.224911,3,307086290212,rg01,r01,maize,0.2144833903847396,0.1214056926706073,0.3,acre,87.5,2018.0,11.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-16.048651,35.224911,3,307086290120,rg01,r01,maize,0.0809371284470715,0.1214056926706073,0.3,acre,87.5,2018.0,11.0,,2.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,neno,,,-15.48979,34.69228,3,313027600244,rg01,r01,maize,0.0364217078011821,0.1011714105588394,0.25,acre,87.5,2018.0,10.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
