hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,dataset_name,country,dataset_doi
H0360101,4,0.25,100,3,2016,1,0.10117361392148927,acres,Sweet potatoes,18,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,2,2,10,NA,2015,1,0.8093889113719142,acres,Cassava,13,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,0.5,40,NA,2006,1,0.20234722784297854,acres,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,0.5,40,NA,2006,1,0.20234722784297854,acres,Banana food,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,2,0.25,NA,8,2015,1,0.10117361392148927,acres,Maize,10,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,0.5,5,NA,2006,1,0.20234722784297854,acres,Banana sweet,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,1,20,NA,2006,1,0.4046944556859571,acres,Banana food,13,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,0.5,10,8,2015,1,0.20234722784297854,acres,Beans,10,2014,10,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,3,1,100,3,2016,1,0.4046944556859571,acres,Beans,17,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,3,0.125,NA,9,2015,1,0.050586806960744635,acres,Sweet potatoes,13,2015,14,2015,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,2,0.25,NA,8,2015,1,0.10117361392148927,acres,Maize,12,2014,13,2015,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,3,0.75,NA,8,2015,1,0.3035208417644678,acres,Maize,12,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360201,2,0.5,100,3,2016,1,0.20234722784297854,acres,Beans,19,2015,19,2015,second,Kiboga,Lwamata,Kasejjere,Bujagala,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
