case_id,HHID,PID,fs_c00,fs_c00f,fs_c01a,fs_c01b,fs_c01c,fs_c00f1,fs_c02a,fs_c02b,fs_c02c,fs_c00f2,fs_c03a,fs_c03b,fs_c03c,fs_c00f3,fs_c04a,fs_c04b,fs_c04c
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,4,NO,,,,,,,,,,,,,,,,
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,1,NO,,,,,,,,,,,,,,,,
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,3,NO,,,,,,,,,,,,,,,,
102041360188,6568506810014f82bebe97eb14691591,2,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102041360188,6568506810014f82bebe97eb14691591,5,NO,,,,,,,,,,,,,,,,
102041360188,6568506810014f82bebe97eb14691591,4,NO,,,,,,,,,,,,,,,,
102041360188,6568506810014f82bebe97eb14691591,1,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102041360188,6568506810014f82bebe97eb14691591,3,NO,,,,,,,,,,,,,,,,
102041360190,918832af615e47c88b9ddc52dbde8314,1,YES,NO,,,,NO,,,,NO,,,,YES,12,3,6
102041360190,918832af615e47c88b9ddc52dbde8314,3,NO,,,,,,,,,,,,,,,,
102041360190,918832af615e47c88b9ddc52dbde8314,4,NO,,,,,,,,,,,,,,,,
102041360190,918832af615e47c88b9ddc52dbde8314,2,NO,,,,,,,,,,,,,,,,
102041360190,918832af615e47c88b9ddc52dbde8314,5,NO,,,,,,,,,,,,,,,,
102041360190,918832af615e47c88b9ddc52dbde8314,8,NO,,,,,,,,,,,,,,,,
102041360190,918832af615e47c88b9ddc52dbde8314,6,NO,,,,,,,,,,,,,,,,
102041360190,918832af615e47c88b9ddc52dbde8314,7,NO,,,,,,,,,,,,,,,,
102041360193,213f1a85e1b84ac4903f704a13b195b6,1,YES,NO,,,,NO,,,,NO,,,,YES,20,5,7
102041360193,213f1a85e1b84ac4903f704a13b195b6,3,NO,,,,,,,,,,,,,,,,
102041360193,213f1a85e1b84ac4903f704a13b195b6,2,YES,NO,,,,NO,,,,NO,,,,YES,20,4,5
102041360205,9497ad3d50874b6e80a1ef28b6148e15,2,YES,NO,,,,NO,,,,NO,,,,YES,3,3,10
