case_id,HHID,Fishing_GearID,fs_d01a,fs_d01b,fs_d02,fs_d03,fs_d04,fs_d05_filter,fs_d05,fs_d06_filter,fs_d06
309036740163,51141e135368409ba3fb2e9a5fec3642,Mbedza (long /hand line),yes,,5,5,2500,NO,,NO,
309036750022,eb4b4a6041d046b7bb2aa797f3cceb78,Mono (fish traps),yes,,6,6,500,NO,,NO,
309036750080,5207307152e84346a60b80e1ae4e69fd,Mono (fish traps),yes,,2,2,20000,NO,,NO,
309036750136,0a658104094441b28a5527951e890f83,Mono (fish traps),yes,,10,10,2500,NO,,NO,
309036750178,21440bc9f66841799a0c65398c78a381,Mono (fish traps),yes,,10,10,4000,NO,,NO,
309036750249,4bc1a2dad5c6488eb81d9e5a381d60e3,Mono (fish traps),yes,,15,15,700,NO,,NO,
309056790031,1544f8de831b4651824ae978b29d5348,Other Specify,yes,UKONDE,50,50,40000,NO,,NO,
309056790055,540e9b5c8d134bfc8fc6773caaf3da33,Mbedza (long /hand line),yes,,10,10,50,YES,10,NO,
309056790117,c58a3bdfc3694efaa813be30908202fb,Usipa (seine) net,yes,,30,15,13500,NO,,NO,
309056790203,5dd8c5564a4b4a86b5877e48ba496e02,Mono (fish traps),yes,,50,50,900,NO,,NO,
310036980328,2353f7d6f19147e1bf283e8fbf1d0789,Mono (fish traps),yes,,3,3,6000,NO,,NO,
310077050169,a1e559ff59974ad4866091d21aeff132,Mono (fish traps),yes,,25,25,40000,YES,25,NO,
311027110154,f8cb9614a35e48e48a887462089fa9ca,Mono (fish traps),yes,,4,4,3000,YES,2,NO,
311047150323,5da42da85b9e4b49a7c7140c31753e47,Mbedza (long /hand line),yes,,2,2,140,NO,,NO,
311057190104,05155a5f72944b468dd8dd4eaf6921ea,Mono (fish traps),yes,,5,5,1000,YES,5,NO,
311077220134,b53dcae63bc1481fbc9c129112df9ba7,Mbedza (long /hand line),yes,,200,200,3400,YES,200,NO,
312057460122,b8f583657bb84a42a55ace18e585c959,Mbedza (long /hand line),yes,,2,2,20,YES,40,NO,
313037660125,8a72c2e0a9dd4936ad5d5456c1a5304c,Mbedza (long /hand line),yes,,7,7,200,YES,5,NO,
313037700223,0fc6b2fc2ba44076b441e9f81fe7459c,Usipa (seine) net,yes,,1,1,1000,YES,1,YES,1000
