case_id,gardenid,plotid,plot_twi,plot_srtm,plot_srtmslp,dist_household
102201460330,RG04,R01,22,482,1,1.4
102201470001,RG02,T01,13,489,1,.40000001
102201470009,RG02,T01,13,489,1,0
102201470018,TG01,T01,13,489,2,0
102201470049,RG02,R01,21,494,1,0
102201470117,RG02,T01,15,490,2,.1
102201470132,RG01,R01,16,495,2,0
102201470150,RG02,R01,13,493,2,0
102201470226,RG02,R01,14,497,2,0
102201470248,RG02,R01,14,488,2,0
103011480001,TG01,T01,12,1157,14,0
103011480010,TG02,T02,11,1052,30,.40000001
103011480024,TG01,T01,11,1056,9,0
103011480039,TG03,T01,10,1125,37,0
103011480058,TG02,T01,11,859,26,.30000001
103011480062,RG02,R01,12,1144,20,.1
103011480078,TG04,T01,12,1127,16,0
103011480103,TG05,T02,12,1118,12,.40000001
103011480104,TG02,T01,12,1134,26,.1
103011480107,TG01,T03,12,1185,10,0
103011480109,RG04,R01,12,1071,13,0
103011480158,TG03,T02,11,1101,17,.30000001
103011480161,RG02,R01,13,1160,8,.1
103011480173,RG02,R01,12,1117,7,.2
103011480174,TG01,T01,11,1147,11,0
103011480184,TG01,T01,11,1039,26,0
103011490001,RG03,R01,18,572,2,.2
103011490002,RG02,R02,13,577,5,.40000001
103011490004,TG02,T01,16,573,6,.30000001
103011490006,TG01,T01,12,576,11,0
103011490007,RG03,R01,14,572,5,.1
103011490008,TG02,T01,14,573,5,0
103011490012,TG02,T01,15,710,5,.60000002
103011490013,TG01,T01,13,736,11,.1
103011490014,RG02,R02,12,743,14,0
103011490018,TG03,T01,11,734,9,.1
103011500012,DG04,D01,11,1146,15,.1
103011500032,DG03,D01,17,1133,22,.30000001
103011500049,RG02,R01,11,1112,12,.40000001
103011500069,DG03,D01,11,1256,14,.2
103011500096,DG04,D02,12,1182,23,3
103011500100,TG04,T02,10,1192,24,1
103011500107,TG03,T01,16,1212,31,.69999999
103011500115,RG02,R01,11,1257,14,.30000001
103011500126,DG04,D01,11,1240,11,.40000001
103011500138,RG02,T02,11,1278,21,.69999999
103011500161,RG02,R01,12,1230,15,.2
