case_id,HHID,fs_i02,fs_i01,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
103061570199,95621fcb6a2e4500a79a407436ef8146,UTAKA,YES,,0,6,10 KG BAG,,FRESH,,NO,,,,,,36,,144,10 KG BAG,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,KILOGRAM,,FRESH,,0,,,,,,,0,YES,,0,KILOGRAM,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
205093460107,9a17e5a268b54e588170832bd9fc2dec,UTAKA,YES,,3,2,SMALL BASKET,,FRESH,,NO,,,,,,6,,2,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,2,SMALL BASKET,,FRESH,,20000,,,,,,,3,YES,,1,SMALL BASKET,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
103051560029,9e2b74583ee74f159721f71160ae0cf3,CHAMBO,YES,,12,4,5 KG BAG,,FRESH,,NO,,,,,,48,,48,5 KG BAG,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,4,5 KG BAG,,FRESH,,13000,,,,,,,12,YES,,0,KILOGRAM,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103051560034,9f6ed8b2a26547da9e9864b87f12c00f,UTAKA,YES,,12,4,5 KG BAG,,FRESH,,NO,,,,,,48,,48,5 KG BAG,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,4,5 KG BAG,,FRESH,,3000,,,,,,,12,YES,,0,KILOGRAM,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
302125270114,a988e774dc644359b0bc719bb1621063,CHAMBO,YES,,10,25,DOZEN / BUNDLE,,FRESH,,NO,,,,,,250,,250,DOZEN / BUNDLE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,24,DOZEN / BUNDLE,,FRESH,,700,,,,,,,10,YES,,7,DOZEN / BUNDLE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103051560124,ab73a5cba3ea4c39b51a134a3995c356,UTAKA,YES,,16,1,SMALL BASKET,,FRESH,,NO,,,,,,16,,16,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,16,SMALL BASKET,,FRESH,,7000,,,,,,,16,YES,,2,KILOGRAM,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
202042700038,ad2716ee75784ef79a82fbeaa12d796c,CHAMBO,YES,,4,1,SMALL BASKET,,FRESH,,NO,,,,,,4,,4,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,SMALL BASKET,,FRESH,,0,,,,,,,0,YES,,1,SMALL BASKET,,FRESH,,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",
103071590145,ba5dcfc6f42e46f987ec987db024fd16,UTAKA,YES,,12,6,10 KG BAG,,FRESH,,NO,,,,,,72,,72,10 KG BAG,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,2,10 KG BAG,,FRESH,,10000,,,,,,,4,YES,,0,KILOGRAM,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
208014080044,bb27fb51c9d34cbaa5e7f6d3756799b6,OTHER,YES,NONE,0,0,OTHER (SPECIFY),NONe,OTHER (SPECIFY),NONE,NO,,,,,,0,,0,OTHER (SPECIFY),NONE,SUN-DRIED,,,,,,,"YES, THE FIGURES MATCHED",,0,PIECE,,SUN-DRIED,,0,,,,,,,0,NO,0,0,OTHER (SPECIFY),NONE,SUN-DRIED,,,,,,,ALMOST ALL,"NO, THE ENTRIES WERE ADJUSTED",0
102031310144,bd08c9d072c74aa483eebcbf185de1cc,MLAMBA,YES,,4,5,SMALL BASKET,,FRESH,,NO,,,,,,Fresh,,20,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,5,SMALL BASKET,,FRESH,,1000,,,,,,,4,NO,THEY ARE NOT DIFFERENT,0,SMALL BASKET,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
