case_id,HHID,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b
103071590219,6c6c3cc87562426aa6b2f0de01dc4b85,YES,UTAKA,,0,0,KILOGRAM,,FRESH,,NO,,,,,,0,,0,KILOGRAM,,FRESH,,0,KILOGRAM,,FRESH,,"YES, THE FIGURES MATCHED",,3,10 KG BAG,,SUN-DRIED,,4000,1,10 KG BAG,,SUN-DRIED,,8500,8,YES,0,KILOGRAM,,SUN-DRIED,,0,KILOGRAM,,SUN-DRIED,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103091620009,8b22280141cf4613b3d2e9ef9da33d90,YES,NCHENI,,16,10,SMALL BASKET,,FRESH,,NO,,,,,,1792,,1792,SMALL BASKET,,FRESH,,1792,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,6,SMALL BASKET,,FRESH,,1500,5,SMALL BASKET,,FRESH,,2500,3,YES,2,SMALL BASKET,,SUN-DRIED,,2,SMALL BASKET,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",
103091620009,8b22280141cf4613b3d2e9ef9da33d90,YES,USIPA,,16,43,SMALL BASKET,,FRESH,,NO,,,,,,4816,,4816,SMALL BASKET,,FRESH,,4816,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,39,SMALL BASKET,,FRESH,,3000,624,SMALL BASKET,,FRESH,,4500,5,NO,3,SMALL BASKET,,FRESH,,3,SMALL BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103091620017,7bdeb0713a3a4be3adbd57b9d856c8ae,YES,NCHENI,,2,2,LARGE BASKET,,FRESH,,NO,,,,,,4,,8,LARGE BASKET,,FRESH,,8,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,2,LARGE BASKET,,FRESH,,5000,8,LARGE BASKET,,FRESH,,5000,2,YES,1,OTHER (SPECIFY),CHIGOBA,FRESH,,1,OTHER (SPECIFY),,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103091620022,441a7583bdfa46bab21f95056eb32d95,YES,NCHENI,,6,4,LARGE BASKET,,FRESH,,NO,,,,,,24,,24,LARGE BASKET,,FRESH,,24,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,4,LARGE BASKET,,FRESH,,2500,24,LARGE BASKET,,FRESH,,2500,6,YES,20,PIECE,,FRESH,,20,PIECE,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103091620078,82a903b5201b4ad59bf79a87749d1e14,YES,USIPA,,9,30,LARGE BASKET,,FRESH,,NO,,,,,,270,,270,LARGE BASKET,,FRESH,,270,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,30,LARGE BASKET,,FRESH,,3000,25,LARGE BASKET,,FRESH,,3500,9,NO,20,SMALL BASKET,,FRESH,,1,SMALL BASKET,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",
103121640016,e4547af32128495991bf03d03a57f8db,YES,USIPA,,16,40,SMALL BASKET,,FRESH,,NO,,,,,,3880,,3880,SMALL BASKET,,FRESH,,3880,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,35,SMALL BASKET,,FRESH,,1500,600,SMALL BASKET,,FRESH,,3000,10,YES,2,SMALL BASKET,,FRESH,,2,SMALL BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103121640031,cdbb743f058e44b7b07d5ca1fd259661,YES,USIPA,,3,100,SMALL BASKET,,FRESH,,NO,,,,,,300,,300,SMALL BASKET,,FRESH,,300,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,100,SMALL BASKET,,FRESH,,2000,300,SMALL BASKET,,FRESH,,2000,3,YES,1,SMALL BASKET,,FRESH,,1,SMALL BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103121640062,4e809b335b844db28d06a96d374f87f2,YES,USIPA,,16,30,LARGE BASKET,,FRESH,,NO,,,,,,480,,280,SMALL BASKET,,FRESH,,280,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,30,SMALL BASKET,,FRESH,,2000,60,SMALL BASKET,,FRESH,,2000,8,YES,1,SMALL BASKET,,FRESH,,1,SMALL BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103121640062,4e809b335b844db28d06a96d374f87f2,YES,NCHENI,,9,5,SMALL BASKET,,SMOKED,,NO,,,,,,25,,25,SMALL BASKET,,SMOKED,,25,SMALL BASKET,,SMOKED,,"YES, THE FIGURES MATCHED",,25,SMALL BASKET,,SMOKED,,2000,25,SMALL BASKET,,SMOKED,,2000,7,YES,4,SMALL BASKET,,FRESH,,1,SMALL BASKET,,SMOKED,,1/4,"YES, THE FIGURES MATCHED",
103121650179,cba0fa54bfa74ada8d6382d8aab3fae7,YES,CHAMBO,,1,2,LARGE BASKET,,FRESH,,NO,,,,,,2,,2,LARGE BASKET,,FRESH,,2,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,2,LARGE BASKET,,FRESH,,85000,0,LARGE BASKET,,FRESH,,0,1,YES,2,LARGE BASKET,,FRESH,,2,LARGE BASKET,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
