case_id,HHID,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
103121650179,cba0fa54bfa74ada8d6382d8aab3fae7,4,1,0,1,YES,2500,2500,NO,,,,,,,NO,,,0,0,NO,,,
103121650471,d8d67896703b4e9482c723dc3e2cc370,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103121660089,ce97d4fe0ebb4eee8c921539ed3c178d,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103121670169,d95ff00ef1a34fea8aa68ca52050424d,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103201680072,987b4bd27aa442968db466205a1e3536,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103201680086,4ff89dca92af45b684af7220cedd61ba,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
103201680136,1e7ca8bed2e7408ca2ecbbd9888a357a,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
104011730202,74ee239e031a4bf3932eba77bbe05473,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
104041780004,c9ab0b29b74e40bc93bbe4d1f541192a,5,20,0,0,NO,,,YES,0,LARGE BASKET,,0,LARGE BASKET,,YES,210000,0,0,0,NO,,,
104041780120,7b56ead5540c4dbfb7f69fc91cd251cc,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
104041780137,c99c252d0f00467aa85701cf5642b95a,5,4,0,0,NO,,,YES,1,10 KG BAG,,0,10 KG BAG,,YES,4000,0,0,0,NO,,,
104071820287,691e7b5b0d364ba88eb7fd5cc92dd08c,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
104201890128,4c55c9d701b247ceb85adc68fb6f7955,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
105041980029,2e0b88f7cb60435a8d92895d33ac50c4,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
105041980196,7e3a3fc584904162890889c67a24baf8,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
105082070130,48a751d5b7814dc7963fe031235b7e1f,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110001,197c13ae874b4907980b611acb5cdf03,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110004,d44fc041d3cf42928b460ca5e04ead07,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110035,555df629fecb46188e9ac0d9c6604c15,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110048,342472e366f946749694e1d4073060b9,0,0,0,0,NO,,,YES,1,SMALL BASKET,,2,SMALL BASKET,,YES,15000,0,0,0,NO,,,
106012110053,543cc1d9ba2441ada5fcb314ba212923,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110070,db8d62f269ce4087b6888253bfe2c32b,1,12,0,0,NO,,,NO,,,,,,,YES,50000,0,0,0,NO,,,
106012110077,c8a435b803704218b05c556b00cfddb4,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110078,f7c465a554084ab4a81239bb6dbb1e4d,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110094,71d995caf65841f08abada272723506d,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
106012110109,d4f329c6aab0471a8b64d42108bbf047,0,0,0,0,NO,,,NO,,,,,,,NO,,,0,0,NO,,,
