region,crop_code,unit_name,unit_code,condition,conversion,collectionround
South,GROUNDNUT MANI-PINTAR,PAIL (MEDIUM),14,U: Unshelled,3.3340001,Collected in Only 2019
North,GROUNDNUT MANI-PINTAR,50 KG BAG,2,S: Shelled,43,Collected In Both 2016 and 2019
Central,GROUNDNUT MANI-PINTAR,50 KG BAG,2,S: Shelled,49.625,Collected In Both 2016 and 2019
South,GROUNDNUT MANI-PINTAR,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
North,GROUNDNUT MANI-PINTAR,50 KG BAG,2,U: Unshelled,23.9,Collected In Both 2016 and 2019
Central,GROUNDNUT MANI-PINTAR,50 KG BAG,2,U: Unshelled,24.97625,Collected In Both 2016 and 2019
South,GROUNDNUT MANI-PINTAR,50 KG BAG,2,U: Unshelled,22,Collected In Both 2016 and 2019
North,GROUNDNUT MANI-PINTAR,90 KG BAG,3,S: Shelled,70.799995,Collected in Only 2016
Central,GROUNDNUT MANI-PINTAR,90 KG BAG,3,S: Shelled,73.200005,Collected in Only 2016
South,GROUNDNUT MANI-PINTAR,90 KG BAG,3,S: Shelled,74.790001,Collected in Only 2016
North,GROUNDNUT MANI-PINTAR,90 KG BAG,3,U: Unshelled,48.851997,Collected in Only 2016
Central,GROUNDNUT MANI-PINTAR,90 KG BAG,3,U: Unshelled,50.508003,Collected in Only 2016
South,GROUNDNUT MANI-PINTAR,90 KG BAG,3,U: Unshelled,51.605099,Collected in Only 2016
North,GROUNDNUT MANI-PINTAR,PAIL (SMALL),4,S: Shelled,4.0999999,Collected in Only 2019
Central,GROUNDNUT MANI-PINTAR,PAIL (SMALL),4,S: Shelled,4.3299999,Collected in Only 2019
South,GROUNDNUT MANI-PINTAR,PAIL (SMALL),4,S: Shelled,4.0960002,Collected in Only 2019
North,GROUNDNUT MANI-PINTAR,PAIL (SMALL),4,U: Unshelled,2.2,Collected in Only 2019
Central,GROUNDNUT MANI-PINTAR,PAIL (SMALL),4,U: Unshelled,2.135,Collected in Only 2019
South,GROUNDNUT MANI-PINTAR,PAIL (SMALL),4,U: Unshelled,2.0120001,Collected in Only 2019
North,GROUNDNUT MANI-PINTAR,PAIL (LARGE),5,S: Shelled,16.650002,Collected In Both 2016 and 2019
Central,GROUNDNUT MANI-PINTAR,PAIL (LARGE),5,S: Shelled,13.7,Collected In Both 2016 and 2019
South,GROUNDNUT MANI-PINTAR,PAIL (LARGE),5,S: Shelled,14.46,Collected In Both 2016 and 2019
North,GROUNDNUT MANI-PINTAR,PAIL (LARGE),5,U: Unshelled,10.2,Collected In Both 2016 and 2019
Central,GROUNDNUT MANI-PINTAR,PAIL (LARGE),5,U: Unshelled,7.6125002,Collected In Both 2016 and 2019
South,GROUNDNUT MANI-PINTAR,PAIL (LARGE),5,U: Unshelled,6.4320002,Collected In Both 2016 and 2019
North,GROUNDNUT MAWANGA,PAIL (MEDIUM),14,S: Shelled,8.3219995,Collected in Only 2019
Central,GROUNDNUT MAWANGA,PAIL (MEDIUM),14,S: Shelled,6.48,Collected in Only 2019
South,GROUNDNUT MAWANGA,PAIL (MEDIUM),14,S: Shelled,7.1009998,Collected in Only 2019
North,GROUNDNUT MAWANGA,PAIL (MEDIUM),14,U: Unshelled,4.599,Collected in Only 2019
Central,GROUNDNUT MAWANGA,PAIL (MEDIUM),14,U: Unshelled,3.4400001,Collected in Only 2019
South,GROUNDNUT MAWANGA,PAIL (MEDIUM),14,U: Unshelled,3.3340001,Collected in Only 2019
North,GROUNDNUT MAWANGA,50 KG BAG,2,S: Shelled,43,Collected In Both 2016 and 2019
Central,GROUNDNUT MAWANGA,50 KG BAG,2,S: Shelled,49.625,Collected In Both 2016 and 2019
South,GROUNDNUT MAWANGA,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
North,GROUNDNUT MAWANGA,50 KG BAG,2,U: Unshelled,23.9,Collected In Both 2016 and 2019
Central,GROUNDNUT MAWANGA,50 KG BAG,2,U: Unshelled,24.97625,Collected In Both 2016 and 2019
South,GROUNDNUT MAWANGA,50 KG BAG,2,U: Unshelled,22,Collected In Both 2016 and 2019
North,GROUNDNUT MAWANGA,90 KG BAG,3,S: Shelled,70.799995,Collected in Only 2016
Central,GROUNDNUT MAWANGA,90 KG BAG,3,S: Shelled,73.200005,Collected in Only 2016
South,GROUNDNUT MAWANGA,90 KG BAG,3,S: Shelled,74.790001,Collected in Only 2016
North,GROUNDNUT MAWANGA,90 KG BAG,3,U: Unshelled,48.851997,Collected in Only 2016
Central,GROUNDNUT MAWANGA,90 KG BAG,3,U: Unshelled,50.508003,Collected in Only 2016
South,GROUNDNUT MAWANGA,90 KG BAG,3,U: Unshelled,51.605099,Collected in Only 2016
North,GROUNDNUT MAWANGA,PAIL (SMALL),4,S: Shelled,4.0999999,Collected in Only 2019
Central,GROUNDNUT MAWANGA,PAIL (SMALL),4,S: Shelled,4.3299999,Collected in Only 2019
South,GROUNDNUT MAWANGA,PAIL (SMALL),4,S: Shelled,4.0960002,Collected in Only 2019
North,GROUNDNUT MAWANGA,PAIL (SMALL),4,U: Unshelled,2.2,Collected in Only 2019
Central,GROUNDNUT MAWANGA,PAIL (SMALL),4,U: Unshelled,2.135,Collected in Only 2019
South,GROUNDNUT MAWANGA,PAIL (SMALL),4,U: Unshelled,2.0120001,Collected in Only 2019
North,GROUNDNUT MAWANGA,PAIL (LARGE),5,S: Shelled,16.650002,Collected In Both 2016 and 2019
Central,GROUNDNUT MAWANGA,PAIL (LARGE),5,S: Shelled,13.7,Collected In Both 2016 and 2019
South,GROUNDNUT MAWANGA,PAIL (LARGE),5,S: Shelled,14.46,Collected In Both 2016 and 2019
North,GROUNDNUT MAWANGA,PAIL (LARGE),5,U: Unshelled,10.2,Collected In Both 2016 and 2019
Central,GROUNDNUT MAWANGA,PAIL (LARGE),5,U: Unshelled,7.6125002,Collected In Both 2016 and 2019
South,GROUNDNUT MAWANGA,PAIL (LARGE),5,U: Unshelled,6.4320002,Collected In Both 2016 and 2019
North,GROUNDNUT JL24,PAIL (MEDIUM),14,S: Shelled,8.3219995,Collected in Only 2019
Central,GROUNDNUT JL24,PAIL (MEDIUM),14,S: Shelled,6.48,Collected in Only 2019
South,GROUNDNUT JL24,PAIL (MEDIUM),14,S: Shelled,7.1009998,Collected in Only 2019
North,GROUNDNUT JL24,PAIL (MEDIUM),14,U: Unshelled,4.599,Collected in Only 2019
Central,GROUNDNUT JL24,PAIL (MEDIUM),14,U: Unshelled,3.4400001,Collected in Only 2019
South,GROUNDNUT JL24,PAIL (MEDIUM),14,U: Unshelled,3.3340001,Collected in Only 2019
North,GROUNDNUT JL24,50 KG BAG,2,S: Shelled,43,Collected In Both 2016 and 2019
Central,GROUNDNUT JL24,50 KG BAG,2,S: Shelled,49.625,Collected In Both 2016 and 2019
