"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01BQ00","AS01Q01","AS01Q03","AS02BQ04","AS02BQ05","AS02BQ06","AS02BQ07","AS02BQ08","AS02BQ09","AS02BQ10","AS02BQ11","AS02BQ12","AS02BQ13A","AS02BQ13B","AS02BQ14","AS02BQ15A","AS02BQ15B","PrimaryLast","PrimaryLast1"
1,21,2,0,1,1,1,1,"OIGNON",33,1,3711,2,2,7,2,,,1,"MAIS",4,1,1
1,21,4,0,1,1,1,1,"OIGNON",33,1,0,1,2,7,2,,,2,,,1,1
1,21,5,0,1,1,1,1,"OIGNON",33,1,5300,1,6,8,2,,,2,,,1,1
1,21,5,0,2,2,1,2,,,,,,,,,,,,,,1,1
1,21,6,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,21,11,1,1,1,1,1,"OIGNON",33,1,1347,1,3,8,2,,,2,,,1,1
1,21,11,1,2,1,2,1,"TOMATE",29,1,1476,3,3,8,2,,,2,,,1,1
1,21,12,0,1,1,1,1,"MOUNGA",48,1,125,2,4,6,2,,,1,"OIGNON",33,1,1
1,22,1,0,1,1,1,1,"OIGNON",33,1,0,1,3,7,2,,,2,,,1,1
1,22,1,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,22,3,0,1,1,1,1,"OIGNON",33,1,2456,1,5,7,2,,,1,"MAIS",4,1,1
1,22,3,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,22,3,0,3,1,3,1,"MALAHIYA",48,1,745,1,6,8,2,,,1,"BLE",6,1,1
1,22,4,0,1,1,1,1,"OIGNON",33,1,2834,1,3,7,2,,,2,,,1,1
1,22,4,0,2,1,2,2,,,,,,,,,,,,,,1,1
1,22,5,0,1,1,1,1,"OIGNON",33,1,4227,2,3,7,2,,,2,,,1,1
1,22,5,0,2,1,2,1,"COURGE",35,1,151,2,3,7,2,,,2,,,1,1
1,22,5,0,3,1,3,1,"EPICE",48,1,2554,2,3,7,2,,,2,,,1,1
1,22,5,0,4,1,4,1,"TOMATE",29,1,327,2,3,7,2,,,2,,,1,1
1,22,10,0,1,1,1,1,"OIGNON",33,1,60000,2,3,7,2,,,2,,,1,1
