"PASSAGE","GRAPPE","MENAGE","EXTENSION","MS00Q01","MS00Q02","MS00Q03A","MS00Q03B","MS00Q04A","MS00Q04B","MS00Q05","MS00Q06","MS00Q07","MS00Q08","MS00Q09","MS00Q10","MS00Q11","MS00Q12","MS00Q14","MS00Q15","MS00Q16","MS00Q17","MS00Q22","MS00Q23","MS00Q24","MS00Q25","MS00Q26","MS00Q59","MS00Q60","MS00Q61"
1,9,8,0,10,3,13102014,1508,13102014,1759,1,1,14102014,10,14102014,1,11,1150,15,3,58,1,9,2,1,1,1,2,2,2
1,9,9,0,10,3,13102014,1030,10102014,1430,1,1,14102014,10,14102014,1,11,1150,15,3,60,1,8,1,1,1,1,2,2,2
1,9,12,0,10,3,13102014,750,13102014,1025,1,1,13102014,10,13102014,1,11,1150,15,3,96,1,5,1,1,1,1,2,2,2
1,9,13,0,10,3,12102014,1600,12102014,1708,1,1,12102014,10,12102014,1,11,1150,15,3,97,1,2,0,0,1,1,2,2,2
1,9,15,0,10,0,12102014,1615,12102014,1742,1,1,12102014,10,12102014,1,11,1150,15,3,107,1,5,2,2,1,1,2,2,2
1,9,16,0,10,2,13102014,740,14102014,1300,1,1,14102014,10,14102014,1,11,1150,15,3,112,1,15,4,0,1,1,2,2,2
1,9,17,0,10,2,13102014,1450,13102014,1745,1,1,13102014,10,13102014,1,11,1150,15,3,139,1,10,1,0,1,1,2,2,2
1,9,18,0,10,2,14102014,735,14102014,1047,1,1,14102014,10,14102014,1,11,1150,15,3,999,1,10,0,0,1,1,2,2,2
1,10,2,0,10,2,18102014,810,11102014,1125,1,1,18102014,10,18102014,1,11,1150,25,3,18,2,7,1,1,1,1,2,2,2
1,10,3,0,10,3,16102014,1506,16102014,1620,1,1,17102014,10,17102014,1,11,1150,25,3,26,2,7,1,2,1,1,2,2,2
1,10,4,0,10,2,16102014,1617,16102014,1850,1,1,17102014,10,17102014,1,11,1150,25,3,33,2,7,1,0,1,1,1,2,1
1,10,6,0,10,1,17102014,716,17102014,932,1,1,17102014,10,17102014,1,11,1150,25,3,41,2,10,2,1,1,1,1,2,1
1,10,7,0,10,1,18102014,632,18102014,734,1,1,18102014,10,18102014,1,11,1150,25,3,48,2,9,2,1,1,1,1,2,1
1,10,8,0,10,1,16102014,1426,16102014,1611,1,1,17102014,10,17102014,1,11,1150,25,3,55,2,10,5,1,1,1,1,2,1
1,10,9,0,10,3,17102014,1015,17102014,1310,1,1,18102014,10,18102014,1,11,1150,25,3,58,2,9,1,1,1,1,1,2,1
1,10,10,0,10,1,17102014,1250,17102014,1334,1,1,17102014,10,17102014,1,11,1150,25,3,60,2,11,4,3,1,1,1,2,1
1,10,11,0,10,3,17102014,700,17102014,1000,1,1,17102014,10,17102014,1,11,1150,25,3,64,2,9,3,1,1,1,1,2,1
1,10,12,0,10,3,17102014,1325,17102014,1610,1,1,18102014,10,18102014,1,11,1150,25,3,66,2,6,1,1,1,1,1,2,1
