"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01QA","AS01Q01","AS01Q03","AS01Q07","AS01Q08","AS01Q09","AS01Q10","AS01Q10A","AS01Q10B"
2,57,14,0,1,1,1,0,0,1,15,2,2
2,57,14,0,2,2,1,10187,5,1,60,1,1
2,57,16,0,4,4,1,0,2,1,10,2,1
2,57,16,0,1,1,1,13683,0,1,1,1,1
2,57,16,0,2,2,1,0,1,1,5,2,1
2,57,16,0,3,3,1,0,2,1,10,2,1
2,57,17,0,1,1,1,9298,1,1,10,1,1
2,57,18,0,1,1,1,8906,1,1,15,1,1
2,58,1,0,2,2,1,9733,1,1,5,1,1
2,58,1,0,1,1,1,11872,1,1,5,1,1
2,58,1,0,4,4,1,2634,1,1,15,1,1
2,58,1,0,3,3,1,4867,1,1,5,1,1
2,58,2,0,2,2,1,0,2,1,15,1,2
2,58,2,0,3,3,1,10427,0,1,0,1,1
2,58,2,0,1,1,1,22347,1,1,5,1,1
2,58,4,0,2,2,1,0,2,1,40,1,1
2,58,4,0,4,4,1,0,1,1,30,1,1
2,58,4,0,5,5,1,0,1,1,30,1,1
2,58,4,0,1,1,1,24122,1,1,30,1,1
2,58,4,0,3,3,1,0,2,1,40,1,1
2,58,5,0,2,2,1,0,1,1,20,2,1
2,58,5,0,4,3,1,0,1,1,20,2,2
2,58,5,0,1,1,1,21453,0,1,2,1,1
2,58,5,0,3,2,2,0,1,1,20,2,1
2,58,6,0,3,3,1,0,1,1,15,2,2
2,58,6,0,1,1,1,15312,1,1,15,1,2
2,58,6,0,2,2,1,54129,1,1,15,1,1
2,58,7,0,2,2,1,9172,1,1,20,1,1
2,58,7,0,3,3,1,0,1,1,35,1,2
2,58,7,0,4,4,1,0,1,1,35,1,2
2,58,7,0,1,1,1,26460,2,1,40,1,1
2,58,8,0,1,1,1,13782,1,1,5,1,1
2,58,8,0,2,2,1,21465,3,1,30,1,1
2,58,9,0,5,5,1,0,7,1,80,2,1
2,58,9,0,2,2,1,42413,1,1,10,1,1
2,58,9,0,4,4,1,0,7,1,80,2,1
2,58,9,0,1,1,1,32537,5,1,60,1,1
2,58,9,0,3,3,1,14064,0,1,0,1,1
2,58,10,0,1,1,1,0,4,1,20,2,1
2,58,10,0,4,4,1,1865,3,1,25,1,1
2,58,10,0,3,3,1,13840,2,1,10,1,1
2,58,10,0,2,2,1,9792,5,1,25,1,1
2,58,11,0,1,1,1,0,1,1,15,2,1
2,58,11,0,2,2,1,12405,0,1,5,2,1
2,58,12,0,3,3,1,0,3,1,30,1,2
2,58,12,0,2,2,1,0,2,1,20,1,2
2,58,12,0,1,1,1,11613,2,1,10,1,1
2,58,13,0,2,2,1,47609,2,1,10,1,1
2,58,13,0,4,4,1,0,3,1,25,1,1
2,58,13,0,1,1,1,13137,0,1,3,1,1
2,58,13,0,3,3,1,0,3,1,20,1,1
2,58,14,0,3,3,1,13375,1,1,25,1,1
2,58,14,0,2,2,1,21452,1,1,30,1,1
2,58,14,0,1,1,1,22217,3,1,60,1,1
2,58,15,0,1,1,1,3724,4,1,120,1,1
2,58,15,0,2,2,1,53521,3,1,60,1,1
2,58,16,0,2,2,1,10450,4,1,30,1,1
2,58,16,0,1,1,1,0,3,1,20,1,1
2,58,16,0,3,3,1,0,2,1,10,1,1
2,58,17,0,2,2,1,14725,2,1,20,1,1
2,58,17,0,3,3,1,26681,2,1,20,1,1
2,58,17,0,1,1,1,10796,1,1,15,1,1
2,58,17,0,4,4,1,0,5,1,70,1,1
2,58,18,0,1,1,1,24852,1,4,15,1,1
2,59,1,0,2,2,1,3481,0,1,5,1,1
2,59,1,0,3,3,1,10425,5,1,20,1,1
2,59,1,0,1,1,1,23184,4,1,15,1,1
2,59,1,0,4,4,1,9413,5,1,20,1,1
2,59,2,0,1,1,1,6967,3,1,20,1,1
2,59,2,0,5,4,1,12480,4,1,25,1,1
2,59,2,0,3,2,1,8465,4,1,25,1,1
2,59,2,0,4,3,1,0,2,1,15,1,1
2,59,2,0,2,1,2,9769,3,1,20,1,1
2,59,3,0,1,1,1,5572,0,1,3,1,1
2,59,3,0,2,2,1,6056,0,1,3,1,1
2,59,3,0,3,3,1,0,2,1,15,1,1
2,59,4,0,1,1,1,6702,0,1,1,1,1
2,59,4,0,3,3,1,0,3,1,25,1,1
2,59,4,0,2,2,1,7856,0,1,2,1,1
2,59,4,0,4,3,2,0,3,1,25,1,1
2,59,5,0,2,2,1,12402,2,1,30,2,1
2,59,5,0,3,3,1,5487,1,1,5,1,1
