,plot_ID,cropCode,hhCultivated_dum,cropStand,plot_fullyCrop,plot_cropFrac,seeding_month,seeding_year,harvestStart_month,harvestEnd_month,season,wave,crop,field_ID,areaPlotReported,areaPlotReported_unit,areaPlotGPS,lastMajor_hhCultOwn_dum,lastMinor_hhCultOwn_dum,harvestStart_year,harvestEnd_year,lastMajor,lastMinor,lon,lat,hh_ID,region,district,ea_ID,tradAuthority_ID
9969,R02,other,YES,MIXED STAND,YES,,DECEMBER,2012.0,JUNE,JUNE,major,2013,other,RG02,1.0,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9970,R03,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG03,0.5,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9971,R03,other,YES,MIXED STAND,YES,,DECEMBER,2012.0,JUNE,JUNE,major,2013,other,RG03,0.5,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9972,R03,sorghum,YES,MIXED STAND,YES,,DECEMBER,2012.0,JULY,JULY,major,2013,sorghum,RG03,0.5,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9973,,,,,,,,,,,major,2013,,,,,,NO,NO,,,,,35.0713,-15.7308,315326740004,South,Blantyre City,31532674,SOUTH LUNZU WARD
9974,R01,maize,YES,MIXED STAND,YES,,NOVEMBER,2012.0,MARCH,MARCH,major,2013,maize,RG01,0.5,ACRE,0.30000001,YES,NO,,,,,35.0713,-15.7308,315326740067,South,Blantyre City,31532674,SOUTH LUNZU WARD
9975,R01,pigeonpea,YES,MIXED STAND,YES,,NOVEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG01,0.5,ACRE,0.30000001,YES,NO,,,,,35.0713,-15.7308,315326740067,South,Blantyre City,31532674,SOUTH LUNZU WARD
9976,R01,maize,YES,MIXED STAND,YES,,OCTOBER,2012.0,MARCH,MARCH,major,2013,maize,RG01,1.0,ACRE,0.50999999,YES,NO,,,,,35.0713,-15.7308,315326740064,South,Blantyre City,31532674,SOUTH LUNZU
9977,R01,pigeonpea,YES,MIXED STAND,YES,,OCTOBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG01,1.0,ACRE,0.50999999,YES,NO,,,,,35.0713,-15.7308,315326740064,South,Blantyre City,31532674,SOUTH LUNZU
9978,R02,maize,YES,MIXED STAND,YES,,OCTOBER,2012.0,JULY,JULY,major,2013,maize,RG02,1.5,ACRE,0.68000001,YES,NO,,,,,35.0713,-15.7308,315326740064,South,Blantyre City,31532674,SOUTH LUNZU
9979,R02,pigeonpea,YES,MIXED STAND,YES,,OCTOBER,2012.0,MARCH,MARCH,major,2013,pigeonpea,RG02,1.5,ACRE,0.68000001,YES,NO,,,,,35.0713,-15.7308,315326740064,South,Blantyre City,31532674,SOUTH LUNZU
9980,R01,maize,YES,MIXED STAND,YES,,NOVEMBER,2012.0,MARCH,MARCH,major,2013,maize,RG01,0.050000001,ACRE,0.02,YES,NO,,,,,35.0713,-15.7308,315326740050,South,Blantyre City,31532674,SOUTH LUNZU
9981,R01,beans,YES,MIXED STAND,YES,,NOVEMBER,2012.0,MARCH,MARCH,major,2013,beans,RG01,0.050000001,ACRE,0.02,YES,NO,,,,,35.0713,-15.7308,315326740050,South,Blantyre City,31532674,SOUTH LUNZU
9982,R01,maize,YES,PURE STAND,,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,1.0,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180060,South,Blantyre City,31536118,NDIRANDE SOUTH
9983,R01,maize,YES,MIXED STAND,YES,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,1.0,ACRE,,YES,NO,,,,,35.0713,-15.7308,315326740166,South,Blantyre City,31532674,SOUTH LUNZU WARD
9984,R01,sorghum,YES,MIXED STAND,YES,,NOVEMBER,2012.0,JULY,JULY,major,2013,sorghum,RG01,1.0,ACRE,,YES,NO,,,,,35.0713,-15.7308,315326740166,South,Blantyre City,31532674,SOUTH LUNZU WARD
9985,R01,pigeonpea,YES,MIXED STAND,YES,,NOVEMBER,2012.0,SEPTEMBER,SEPTEMBER,major,2013,pigeonpea,RG01,1.0,ACRE,,YES,NO,,,,,35.0713,-15.7308,315326740166,South,Blantyre City,31532674,SOUTH LUNZU WARD
9986,R01,groundnut,YES,MIXED STAND,YES,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,groundnut,RG01,1.0,ACRE,,YES,NO,,,,,35.0713,-15.7308,315326740166,South,Blantyre City,31532674,SOUTH LUNZU WARD
9987,R01,maize,YES,MIXED STAND,YES,,OCTOBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,1.0,ACRE,0.80000001,YES,NO,,,,,35.0402,-15.7776,315361180324,South,Blantyre City,31536118,NDIRANDE SOUTH
9988,R01,pigeonpea,YES,MIXED STAND,YES,,OCTOBER,2012.0,JUNE,JULY,major,2013,pigeonpea,RG01,1.0,ACRE,0.80000001,YES,NO,,,,,35.0402,-15.7776,315361180324,South,Blantyre City,31536118,NDIRANDE SOUTH
