ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
10736466,Mzuzu City,36,38,04 Nov 10,4,11,2010,391,07 Nov 10,7,11,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10736596,Mzuzu City,36,30,03 Aug 10,3,8,2010,391,17 Aug 10,17,8,2010,yes,yes,yes,yes,yes,yes,grass,IRON SHEETS
10737199,Mzuzu City,37,38,02 Dec 10,2,12,2010,391,10 Jan 11,10,1,2011,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10739309,Mzuzu City,39,38,08 Mar 11,8,3,2011,391,11 Mar 11,11,3,2011,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10741504,Mzuzu City,41,30,14 Jul 10,14,7,2010,391,18 Jul 10,18,7,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10744039,Mzuzu City,44,38,21 Oct 10,21,10,2010,391,23 Oct 10,23,10,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10744154,Mzuzu City,44,38,27 Jan 11,27,1,2011,391,31 Jan 11,31,1,2011,yes,yes,yes,yes,yes,yes,MUD BRICK (UNFIRED),grass
10744649,Mzuzu City,44,38,08 Oct 10,8,10,2010,391,10 Oct 10,10,10,2010,yes,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10746033,Mzuzu City,46,30,06 Apr 10,6,4,2010,391,29 Jun 10,29,6,2010,no,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10746244,Mzuzu City,46,30,31 Jul 10,31,7,2010,391,03 Aug 10,3,8,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
20101014,Kasungu,1,40,26 Apr 10,26,4,2010,49,26 May 10,26,5,2010,no,no,yes,yes,no,yes,MUD BRICK (UNFIRED),grass
20101387,Kasungu,1,70,23 Feb 11,23,2,2011,49,05 Mar 11,5,3,2011,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
20102311,Kasungu,2,70,25 Nov 10,25,11,2010,49,29 Nov 10,29,11,2010,yes,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
20103365,Kasungu,3,70,03 Oct 10,3,10,2010,49,13 Oct 10,13,10,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
20105073,Kasungu,5,70,03 Mar 11,3,3,2011,49,14 Mar 11,14,3,2011,yes,yes,yes,yes,no,yes,BURNT BRICKS,grass
20105181,Kasungu,5,40,25 Jun 10,25,6,2010,49,28 Jun 10,28,6,2010,yes,no,yes,yes,no,yes,MUD BRICK (UNFIRED),grass
20106042,Kasungu,6,70,26 Sep 10,26,9,2010,49,05 Oct 10,5,10,2010,yes,no,yes,yes,yes,yes,MUD BRICK (UNFIRED),IRON SHEETS
20107490,Kasungu,7,70,19 Oct 10,19,10,2010,49,10 Nov 10,10,11,2010,yes,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
20107615,Kasungu,7,70,10 Jan 11,10,1,2011,49,16 Jan 11,16,1,2011,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
20108739,Kasungu,8,40,25 Mar 10,25,3,2010,49,26 May 10,26,5,2010,no,no,no,no,no,yes,COMPACTED EARTH (YAMDINDO),grass
20109486,Kasungu,9,70,08 Nov 10,8,11,2010,49,20 Nov 10,20,11,2010,yes,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
20109653,Kasungu,9,70,14 Oct 10,14,10,2010,49,21 Oct 10,21,10,2010,yes,no,yes,yes,no,yes,MUD BRICK (UNFIRED),grass
20110170,Kasungu,10,70,28 Feb 11,28,2,2011,49,06 Mar 11,6,3,2011,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
20110620,Kasungu,10,40,08 May 10,8,5,2010,49,14 May 10,14,5,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
20111107,Kasungu,11,70,01 Mar 11,1,3,2011,49,10 Mar 11,10,3,2011,yes,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
20111530,Kasungu,11,70,06 Jan 11,6,1,2011,49,14 Jan 11,14,1,2011,yes,no,yes,no,no,yes,MUD BRICK (UNFIRED),grass
20111718,Kasungu,11,40,26 Aug 10,26,8,2010,49,29 Aug 10,29,8,2010,yes,no,yes,yes,no,yes,MUD BRICK (UNFIRED),grass
20112290,Kasungu,12,70,23 Dec 10,23,12,2010,49,09 Jan 11,9,1,2011,yes,no,yes,no,no,yes,COMPACTED EARTH (YAMDINDO),grass
20112334,Kasungu,12,40,07 Jul 10,7,7,2010,49,18 Jul 10,18,7,2010,yes,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
20112661,Kasungu,12,40,11 Jun 10,11,6,2010,49,29 Jun 10,29,6,2010,yes,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
20113112,Kasungu,13,40,29 Mar 10,29,3,2010,49,25 May 10,25,5,2010,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
20113529,Kasungu,13,70,12 Jan 11,12,1,2011,49,19 Jan 11,19,1,2011,no,no,yes,yes,no,yes,MUD BRICK (UNFIRED),grass
20115434,Kasungu,15,40,20 Jul 10,20,7,2010,49,24 Jul 10,24,7,2010,yes,no,yes,yes,yes,yes,MUD BRICK (UNFIRED),grass
20120081,Kasungu,20,70,01 Dec 10,1,12,2010,49,04 Dec 10,4,12,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
20201109,Nkhota kota,1,50,10 Nov 10,10,11,2010,59,15 Nov 10,15,11,2010,no,no,yes,yes,no,yes,BURNT BRICKS,grass
