"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02EQ01","AS02EQ03","AS02EQ0","AS02EQ04","AS02EQ05","CULTURE","AS02EQ06A","AS02EQ06B","AS02EQ07A","AS02EQ07B","AS02EQ07C","AS02EQ07D","AS02EQH","AS02EQ0A","AS02EQ07E","AS02EQ07F","AS02EQ08","AS02EQ09","AS02EQ10","AS02EQ0C"
2,95,13,0,1,1,1,1,"MIL",1,10,10,45,5,126,1,1,1,,,1,60,3,1
2,95,13,0,1,1,2,1,"NIEBE",8,11,11,4,5,11,1,2,1,,,1,50,3,1
2,95,13,0,2,1,3,1,"MIL",1,10,10,80,5,224,1,3,2,,,1,10,3,1
2,95,13,0,2,1,4,1,"NIEBE",8,11,11,6,5,16,1,4,2,,,1,50,3,1
2,95,13,0,3,1,5,1,"MIL",1,10,10,5,5,14,1,5,3,,,1,5,3,1
2,95,13,0,3,1,7,1,"SORGHO",2,0,,,,,,7,3,0,1,1,100,3,1
2,95,13,0,3,1,6,1,"NIEBE",8,0,,,,,,6,3,0,1,1,100,3,1
2,95,14,0,1,1,1,1,"MIL",1,10,10,130,5,420,1,1,1,,,1,170,3,1
2,95,14,0,1,1,3,1,"SORGHO",2,11,11,25,5,68,1,3,1,,,1,90,3,1
2,95,14,0,1,1,2,1,"NIEBE",8,11,11,7,5,19,1,2,1,,,1,90,3,1
2,95,14,0,2,1,4,1,"MIL",1,10,10,2,5,6,1,4,2,,,1,90,7,1
2,95,14,0,2,1,6,1,"SORGHO",2,0,,,,,,6,2,0,1,1,100,7,1
2,95,14,0,2,1,5,1,"NIEBE",8,0,,,,,,5,2,0,1,1,100,7,1
2,95,15,0,1,1,1,1,"MIL",1,10,10,75,5,210,1,1,1,,,1,40,3,1
2,95,15,0,1,1,2,1,"NIEBE",8,11,11,50,5,135,1,2,1,,,1,50,3,1
2,95,15,0,2,1,3,1,"MIL",1,10,10,125,5,350,1,3,2,,,1,35,3,1
2,95,15,0,2,1,4,1,"SORGHO",2,10,10,35,5,95,1,4,2,,,1,60,3,1
2,95,16,0,1,1,1,1,"MIL",1,10,10,45,5,126,1,1,1,,,2,,,1
2,95,16,0,1,1,2,1,"SORGHO",2,10,10,10,5,27,1,2,1,,,2,,,1
2,95,16,0,1,1,3,1,"NIEBE",8,10,10,2,5,5,1,3,1,,,1,55,8,1
2,95,16,0,2,1,4,1,"MIL",1,10,10,60,5,160,1,4,2,,,1,3,3,1
2,95,16,0,2,1,5,1,"SORGHO",2,0,,,,,,5,2,0,1,1,100,3,1
